date,datetime,IC
2024-06-24,2024-06-24 06:00:00+00:00,-0.03947962457608601
2024-06-24,2024-06-24 06:15:00+00:00,-0.00857210181619989
2024-06-24,2024-06-24 06:30:00+00:00,-0.018318796204214425
2024-06-24,2024-06-24 06:45:00+00:00,-0.001980503838709794
2024-06-24,2024-06-24 07:00:00+00:00,
2024-06-25,2024-06-25 01:45:00+00:00,0.03737302491700372
2024-06-25,2024-06-25 02:00:00+00:00,0.023724277579762244
2024-06-25,2024-06-25 02:15:00+00:00,-0.0028231886625215198
2024-06-25,2024-06-25 02:30:00+00:00,0.022067045084724127
2024-06-25,2024-06-25 02:45:00+00:00,0.007782813406609153
2024-06-25,2024-06-25 03:00:00+00:00,-0.03193356246962382
2024-06-25,2024-06-25 03:15:00+00:00,0.026402113967657615
2024-06-25,2024-06-25 03:30:00+00:00,-0.014846697130203434
2024-06-25,2024-06-25 05:15:00+00:00,0.021824165039998362
2024-06-25,2024-06-25 05:30:00+00:00,0.006119384370260817
2024-06-25,2024-06-25 05:45:00+00:00,0.010300680765026497
2024-06-25,2024-06-25 06:00:00+00:00,-0.020348620594275727
2024-06-25,2024-06-25 06:15:00+00:00,0.048465299355399144
2024-06-25,2024-06-25 06:30:00+00:00,-0.023359512496684928
2024-06-25,2024-06-25 06:45:00+00:00,-0.0034704307214782903
2024-06-25,2024-06-25 07:00:00+00:00,
2024-06-26,2024-06-26 01:45:00+00:00,-0.04428097842227072
2024-06-26,2024-06-26 02:00:00+00:00,-0.0548215359811176
2024-06-26,2024-06-26 02:15:00+00:00,-0.03690829095164058
2024-06-26,2024-06-26 02:30:00+00:00,-0.02089081171457425
2024-06-26,2024-06-26 02:45:00+00:00,-0.020296030415449348
2024-06-26,2024-06-26 03:00:00+00:00,-0.004030735065883729
2024-06-26,2024-06-26 03:15:00+00:00,0.021638988786485052
2024-06-26,2024-06-26 03:30:00+00:00,0.026840407815012842
2024-06-26,2024-06-26 05:15:00+00:00,-0.0009488969322832678
2024-06-26,2024-06-26 05:30:00+00:00,-0.0048544550897989475
2024-06-26,2024-06-26 05:45:00+00:00,-0.027051071929350825
2024-06-26,2024-06-26 06:00:00+00:00,-0.02422015788925623
2024-06-26,2024-06-26 06:15:00+00:00,3.286927788740599e-05
2024-06-26,2024-06-26 06:30:00+00:00,0.010703379595642798
2024-06-26,2024-06-26 06:45:00+00:00,-0.0043324406291372014
2024-06-26,2024-06-26 07:00:00+00:00,
2024-06-27,2024-06-27 01:45:00+00:00,-0.04471641728465851
2024-06-27,2024-06-27 02:00:00+00:00,-0.05326230531586909
2024-06-27,2024-06-27 02:15:00+00:00,-0.0407786802761135
2024-06-27,2024-06-27 02:30:00+00:00,-0.030906607118211978
2024-06-27,2024-06-27 02:45:00+00:00,-0.038224961664612596
2024-06-27,2024-06-27 03:00:00+00:00,-0.03150864413502428
2024-06-27,2024-06-27 03:15:00+00:00,-0.024115050260926245
2024-06-27,2024-06-27 03:30:00+00:00,-0.03065229471332313
2024-06-27,2024-06-27 05:15:00+00:00,0.023259355548501424
2024-06-27,2024-06-27 05:30:00+00:00,0.021302304714961317
2024-06-27,2024-06-27 05:45:00+00:00,-0.014115593402185326
2024-06-27,2024-06-27 06:00:00+00:00,-0.032593298425031295
2024-06-27,2024-06-27 06:15:00+00:00,-0.035218301233050954
2024-06-27,2024-06-27 06:30:00+00:00,-0.031881721920742734
2024-06-27,2024-06-27 06:45:00+00:00,0.002634034499224856
2024-06-27,2024-06-27 07:00:00+00:00,
2024-06-28,2024-06-28 01:45:00+00:00,0.03846194917815347
2024-06-28,2024-06-28 02:00:00+00:00,0.05976773329673758
2024-06-28,2024-06-28 02:15:00+00:00,0.028223525267170358
2024-06-28,2024-06-28 02:30:00+00:00,0.02742620249653395
2024-06-28,2024-06-28 02:45:00+00:00,0.011747967548235419
2024-06-28,2024-06-28 03:00:00+00:00,0.06692292923023813
2024-06-28,2024-06-28 03:15:00+00:00,-0.0017147130827713146
2024-06-28,2024-06-28 03:30:00+00:00,-0.0169669882975971
2024-06-28,2024-06-28 05:15:00+00:00,-0.025614066582870423
2024-06-28,2024-06-28 05:30:00+00:00,-0.025998583235107474
2024-06-28,2024-06-28 05:45:00+00:00,-0.019324790726751896
2024-06-28,2024-06-28 06:00:00+00:00,-0.05313944276439326
2024-06-28,2024-06-28 06:15:00+00:00,-0.03356322828275309
2024-06-28,2024-06-28 06:30:00+00:00,0.001592819884644168
2024-06-28,2024-06-28 06:45:00+00:00,0.014702784585752393
2024-06-28,2024-06-28 07:00:00+00:00,
2024-07-01,2024-07-01 01:45:00+00:00,-0.00591985708772881
2024-07-01,2024-07-01 02:00:00+00:00,0.03697655270671096
2024-07-01,2024-07-01 02:15:00+00:00,0.03684893178277237
2024-07-01,2024-07-01 02:30:00+00:00,0.04691044921772289
2024-07-01,2024-07-01 02:45:00+00:00,0.013292810007526806
2024-07-01,2024-07-01 03:00:00+00:00,-0.005050417079090749
2024-07-01,2024-07-01 03:15:00+00:00,0.02102889484669187
2024-07-01,2024-07-01 03:30:00+00:00,0.05519004802255844
2024-07-01,2024-07-01 05:15:00+00:00,0.057891588396080336
2024-07-01,2024-07-01 05:30:00+00:00,0.07215201955199851
2024-07-01,2024-07-01 05:45:00+00:00,0.04372293241904003
2024-07-01,2024-07-01 06:00:00+00:00,0.020541813211008123
2024-07-01,2024-07-01 06:15:00+00:00,-0.006480596901081609
2024-07-01,2024-07-01 06:30:00+00:00,-0.005029148912532602
2024-07-01,2024-07-01 06:45:00+00:00,-0.02510541216337166
2024-07-01,2024-07-01 07:00:00+00:00,
2024-07-02,2024-07-02 01:45:00+00:00,-0.062015088867965674
2024-07-02,2024-07-02 02:00:00+00:00,-0.03166046749066833
2024-07-02,2024-07-02 02:15:00+00:00,-0.03461299140812261
2024-07-02,2024-07-02 02:30:00+00:00,-0.03847591225273914
2024-07-02,2024-07-02 02:45:00+00:00,-0.038597823203697944
2024-07-02,2024-07-02 03:00:00+00:00,-0.04739462880179246
2024-07-02,2024-07-02 03:15:00+00:00,-0.0014435401138119548
2024-07-02,2024-07-02 03:30:00+00:00,-0.010386986744218568
2024-07-02,2024-07-02 05:15:00+00:00,-0.012154208811819224
2024-07-02,2024-07-02 05:30:00+00:00,-0.0358961054127772
2024-07-02,2024-07-02 05:45:00+00:00,-0.06000027141925925
2024-07-02,2024-07-02 06:00:00+00:00,-0.03138809484420244
2024-07-02,2024-07-02 06:15:00+00:00,-0.005407993622512979
2024-07-02,2024-07-02 06:30:00+00:00,-0.010908897906170813
2024-07-02,2024-07-02 06:45:00+00:00,-0.004375748298070312
2024-07-02,2024-07-02 07:00:00+00:00,
2024-07-03,2024-07-03 01:45:00+00:00,0.04829429711992026
2024-07-03,2024-07-03 02:00:00+00:00,0.013826678470642574
2024-07-03,2024-07-03 02:15:00+00:00,0.027278571997265192
2024-07-03,2024-07-03 02:30:00+00:00,-0.02023179609560811
2024-07-03,2024-07-03 02:45:00+00:00,0.001540591213120055
2024-07-03,2024-07-03 03:00:00+00:00,-0.014576664278576507
2024-07-03,2024-07-03 03:15:00+00:00,0.006422569586628731
2024-07-03,2024-07-03 03:30:00+00:00,-0.0028227130347394506
2024-07-03,2024-07-03 05:15:00+00:00,-0.015048108630057469
2024-07-03,2024-07-03 05:30:00+00:00,-0.03366588981620317
2024-07-03,2024-07-03 05:45:00+00:00,-0.005991360550261158
2024-07-03,2024-07-03 06:00:00+00:00,0.008408719846988455
